HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premID_1,Input.mask-type_1,Input.hypoID_1,Input.premise_1,Input.hypothesis_1,Input.gold-label_1,Input.premID_2,Input.mask-type_2,Input.hypoID_2,Input.premise_2,Input.hypothesis_2,Input.gold-label_2,Input.premID_3,Input.mask-type_3,Input.hypoID_3,Input.premise_3,Input.hypothesis_3,Input.gold-label_3,Input.premID_4,Input.mask-type_4,Input.hypoID_4,Input.premise_4,Input.hypothesis_4,Input.gold-label_4,Input.premID_5,Input.mask-type_5,Input.hypoID_5,Input.premise_5,Input.hypothesis_5,Input.gold-label_5,Input.premID_6,Input.mask-type_6,Input.hypoID_6,Input.premise_6,Input.hypothesis_6,Input.gold-label_6,Input.premID_7,Input.mask-type_7,Input.hypoID_7,Input.premise_7,Input.hypothesis_7,Input.gold-label_7,Input.premID_8,Input.mask-type_8,Input.hypoID_8,Input.premise_8,Input.hypothesis_8,Input.gold-label_8,Input.premID_9,Input.mask-type_9,Input.hypoID_9,Input.premise_9,Input.hypothesis_9,Input.gold-label_9,Input.premID_10,Input.mask-type_10,Input.hypoID_10,Input.premise_10,Input.hypothesis_10,Input.gold-label_10,Answer.comments,Answer.numanswered,Answer.response_1,Answer.response_2,Answer.response_3,Answer.response_4,Answer.response_5,Answer.response_6,Answer.response_7,Answer.response_8,Answer.response_9,Answer.response_10,Approve,Reject,1,2,3,4,5,6,7,8,9,,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,30X31N5D64SPQGKRNR33EGSYO32SAJ,A2Y0WNHMT4PZ4C,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 11:59:05 PDT 2021,Sun Apr 25 11:59:05 PDT 2021,Sun Apr 25 11:59:14 PDT 2021,,,1173,100% (1/1),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,neutral,entailment,neutral,contradiction,entailment,entailment,contradiction,contradiction,neutral,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,31QTRG6Q2UFT9622BGDPMX5U4AYPYA,A1Q93M41J566U1,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 14:09:57 PDT 2021,Sun Apr 25 14:09:57 PDT 2021,Sun Apr 25 14:10:15 PDT 2021,,,9025,100% (2/2),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,neutral,contradiction,neutral,contradiction,entailment,entailment,contradiction,contradiction,contradiction,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,35L9RVQFCPKKFGK9I28VA3XQMVDHUZ,A222R4PNCF08OF,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 13:56:28 PDT 2021,Sun Apr 25 13:56:28 PDT 2021,Sun Apr 25 13:57:15 PDT 2021,,,8216,100% (3/3),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,neutral,neutral,contradiction,neutral,neutral,neutral,entailment,contradiction,contradiction,contradiction,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,36PW28KO40YOGXF9MWJYPZOJNDFEAS,A1W7I6FN183I8F,Approved,Thu Apr 22 23:40:42 PDT 2021,Fri Apr 23 08:46:17 PDT 2021,Mon Apr 26 08:46:17 PDT 2021,Mon Apr 26 08:46:35 PDT 2021,,,32735,100% (840/840),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,neutral,neutral,neutral,neutral,entailment,entailment,contradiction,contradiction,contradiction,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,7,1
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,37TD41K0AIBDJVHP75ZUKBIMO6NSCL,A3HOBJ4PJUOCUN,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 11:45:01 PDT 2021,Sun Apr 25 11:45:01 PDT 2021,Sun Apr 25 11:45:14 PDT 2021,,,329,100% (1/1),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,entailment,neutral,neutral,contradiction,entailment,entailment,neutral,contradiction,neutral,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,3AAPLD8UCDJ5F35KIXIL57BO3H6HT8,A2APG8MSLJ6G2K,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 11:47:08 PDT 2021,Sun Apr 25 11:47:08 PDT 2021,Sun Apr 25 11:47:14 PDT 2021,,,456,100% (4/4),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,none. thank you.,10,contradiction,entailment,contradiction,contradiction,contradiction,entailment,entailment,contradiction,contradiction,neutral,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,3C6FJU71TRV61BAYS2CJW3STCRQUYB,A2MOKIEQZ0OF2M,Approved,Thu Apr 22 11:40:03 PDT 2021,Thu Apr 22 12:31:12 PDT 2021,Sun Apr 25 12:31:12 PDT 2021,Sun Apr 25 12:31:14 PDT 2021,,,3069,100% (4/4),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,none thanks,10,entailment,neutral,entailment,neutral,contradiction,neutral,entailment,contradiction,neutral,contradiction,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,3I2PTA7R3UWJPDE07ERNDUGTBRBKQ1,A32JEH06T23HDF,Approved,Thu Apr 22 11:39:32 PDT 2021,Thu Apr 22 11:48:31 PDT 2021,Sun Apr 25 11:48:31 PDT 2021,Sun Apr 25 11:49:14 PDT 2021,,,539,100% (21/21),100% (15/15),100% (15/15),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,entailment,neutral,neutral,contradiction,entailment,entailment,neutral,contradiction,contradiction,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,6,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,3OWEPKL08AEAR1UO8SAX5VG20WON7B,A1XVEKS9O73ERE,Approved,Thu Apr 22 11:39:31 PDT 2021,Thu Apr 22 14:01:34 PDT 2021,Sun Apr 25 14:01:34 PDT 2021,Sun Apr 25 14:02:15 PDT 2021,,,8523,100% (8/8),100% (2/2),100% (2/2),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,neutral,neutral,neutral,neutral,entailment,neutral,contradiction,contradiction,contradiction,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6,
33NOQL7T9P15MKFWVJ8WQYNKOZEZ85,3PC7P8I8IZOUWVTXL2ZBL23C67BFWJ,Label a pair of sentences,Read pairs of sentences and decide what the relation between them is (~7min),"text, English, sentence, labeling",$3.15 ,Thu Apr 22 11:39:05 PDT 2021,15,BatchId:4417816;OriginalHitTemplateId:920937340;,43200,259200,Thu Apr 29 11:39:05 PDT 2021,,,3QAPZX2QN5F0K45B1AR4YS3HHNS02Y,A3GK90X2QOFR53,Approved,Thu Apr 22 18:05:23 PDT 2021,Thu Apr 22 19:36:45 PDT 2021,Sun Apr 25 19:36:45 PDT 2021,Sun Apr 25 19:37:15 PDT 2021,,,5482,100% (1/1),100% (1/1),100% (1/1),5428,original,19028,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",The city bus will take you no further west than Zion Square.,contradiction,1525,original,7810,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",The observation decks offer better views when the weather is sunny,neutral,17838,original,52248,He can tell her of something bad that has happened without fearing that she will think he is complaining.,"He complained about a lot of things, but none to her.",neutral,53815,original,29255,"From here, it's a short walk west to the grounds of Shinobazu Pond.","If you will walk past, you will go to the Whisperer's Forest.",contradiction,8561,content-words,43360,probably so just because they were under his authority and he obviously failed somewhere along the line,They were under his authority because he was a great leader.,neutral,25119,gradient,46037,"For example, human mistakes, judgment errors, and acts of collusion to circumvent control can affect meeting agency objectives.","Meeting agency objectives are affected by many variables, some accidental and some intentional.",entailment,9577,original,27261,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,"Jack, a friend of mine I've know for a while, sent me an application.",entailment,5736,data-slices,42252,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",Grover Cleveland admitted to having a child with a woman he used to be married to.,neutral,7106,gradient,19886,"He was a man of very little imagination, in sharp contrast with his brother, who had, perhaps, too much.",Both brothers had unusually big imaginations and could conjure up anything.,contradiction,39642,gradient,13953,but then i have to wait for my tomatoes have to go in here in the next couple of weeks,I need to get my tomatoes in here as soon as possible.,neutral,{},10,contradiction,entailment,neutral,neutral,neutral,entailment,neutral,entailment,contradiction,neutral,,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5,
