,Unnamed: 0,Unnamed: 0.1,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
14438,14603,14603,34609,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Mr. Casellas began his career at the Philadelphia law firm Montgomery, McCracken, Walker  and  Rhoads, where he worked for sixteen years.","Mr. Casellas began worked at Montgomery, McCracken, Walker and Rhoads for three years.","Mr. Casellas began worked at Montgomery, McCracken, Walker and Rhoads for sixteen years.",sixteen years.,10.68%,1,0.9935469851096099,0.9920377135276794,entailment,entailment,neutral,contradiction,entailment,1.0,0.0,0.99,True,1.0,Certain-Flip
8462,8555,8555,24954,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,and my wife painted those the insides of those dark blue,The insides of those were painted dark blue by my wife.,The insides of those were painted dark green by my wife.,green by my,10.34%,3,0.9945676440579152,0.9956752061843872,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,1.0,True,0.99,Certain-Flip
6462,6531,6531,13932,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,We have included descriptions of the entities we visited in appendix II.,Descriptions of the visited entities have been added to the appendix for the reader to have a better understanding.,Descriptions of the visited entities have been added to the appendix I for the reader to have a better understanding.,appendix I,10.21%,3,0.9967067260984438,0.9885294437408448,neutral,neutral,entailment,neutral,contradiction,0.99,0.06,0.93,True,0.93,Certain-Flip
1900,1920,1920,90292,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Also in 1996, other new requirements were adopted governing what legal services programs can do and whom they can represent.","New requirements, adopted in 1996, now govern what legal services programs can and cannot do.","New requirements, adopted in 1996, now govern what legal services programs cannot do.",programs,11.07%,1,0.9964640456017972,0.9897777438163756,contradiction,contradiction,entailment,entailment,contradiction,0.96,0.05,0.94,True,0.91,Certain-Flip
6207,6271,6271,63135,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The focus of this paper is First-Class Mail.,There was no paper relating to First-Class Mail.,There was no paper relating to Second-Class Mail.,Second-Class,10.69%,2,0.99694352141148,0.9950056672096252,entailment,entailment,contradiction,contradiction,neutral,1.0,0.01,0.9,True,0.99,Certain-Flip
9195,9302,9302,96722,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Disney, by anthropomorphizing its critters, exploits this American mushy-mindedness, and makes us forget that pets are, in the end, just animals.",Disney makes us forget that pets are just animals.  ,Disney makes us forget that dogs are just animals.,that dogs,9.78%,7,0.9914451736151016,0.9914538860321044,contradiction,contradiction,neutral,entailment,neutral,0.98,0.01,0.99,True,0.97,Certain-Flip
15992,16175,16175,84995,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,They ducked behind a large rock as a dozen more riders roared past silhouetted against the blazing village.,It was behind a big rock that they hid as the riders rode past. ,It was behind a small rock that they hid as the riders rode past.,a small rock,10.24%,3,0.9957658244020616,0.9908969402313232,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,0.99,True,0.99,Certain-Flip
6362,6430,6430,37829,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,What Are the Implications of a Growing Elderly Population for Retirement Security?,What are the ramifications of an increasing elderly population for retirement security?,What are the ramifications of a shrinking elderly population for retirement security?,a shrinking elderly,10.49%,1,0.9861205120688536,0.9898854494094848,contradiction,contradiction,entailment,entailment,contradiction,0.98,0.0,1.0,True,0.98,Certain-Flip
10384,10505,10505,7527,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Of course, this simplified example focuses on one household and one type of IRA.",The simplified example focuses on one household and two types of IRA.,The simplified example focuses on one household and one type of IRA.,one type,11.32%,1,0.9870939871536034,0.9890374541282654,entailment,entailment,neutral,contradiction,entailment,1.0,0.0,0.99,True,1.0,Certain-Flip
4420,4470,4470,12509,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Look out as well for a giraffe, which indicates the Indian west coast's early contact with Africa.",The giraffe may indicate the Indian west coast's early contact with Africa.,The giraffe may indicate the Indian east coast's early contact with Africa.,the Indian east,10.14%,2,0.9989573395098006,0.9964583516120912,neutral,neutral,contradiction,entailment,contradiction,0.92,0.0,0.97,True,0.92,Certain-Flip
