HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise1,Input.hypothesis1,Input.lang1,Input.score1,Input.premise2,Input.hypothesis2,Input.lang2,Input.score2,Input.premise3,Input.hypothesis3,Input.lang3,Input.score3,Input.premise4,Input.hypothesis4,Input.lang4,Input.score4,Input.premise5,Input.hypothesis5,Input.lang5,Input.score5,Answer.c1.c,Answer.c2.c,Answer.c3.c,Answer.c4.c,Answer.c5.c,Answer.e1.e,Answer.e2.e,Answer.e3.e,Answer.e4.e,Answer.e5.e,Answer.n1.n,Answer.n2.n,Answer.n3.n,Answer.n4.n,Answer.n5.n,Answer.x1.x,Answer.x2.x,Answer.x3.x,Answer.x4.x,Answer.x5.x,label1,label2,label3,label4,label5
32ZCLEW0B0M0SX99ZE7LOQUKPAHJPX,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3SITXWYCNWB257BINF9M8ZTVF9MBXC,A98E8M4QLI9RS,Approved,Tue Apr 21 10:02:58 PDT 2020,Tue Apr 21 10:49:00 PDT 2020,Wed Apr 22 10:49:00 PDT 2020,Wed Apr 22 10:49:44 PDT 2020,,,2762,100% (556/556),100% (32/32),100% (32/32),"The company has its headquarters in Palo Alto, Silicon Valley, California.","The company is headquartered in East Palo Alto, California.",fr,1.023887584,This is a feature they share with other canids.,This is a feature common to convexs.,ja,1.037406582,The game point - a situation in which the player leading the score only needs one more point to win the game.,Game point Game situation when one player needs just one more point to win.,id,1.043317891,"Someone played him some Smiths records and he went 'Oh, this guy plays guitar all right!'","Sid was bitten by that hamster and cried out, ""This Sid is a beast!""",id,1.022130205,He watches over the borders of wilderness and farmed land and seeks to maintain the balance between them.,It stays in both forest and agricultural landscapes and seeks the proximity of water.,cs,1.033249265,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,n,c,c
3NKW03WTLN97YTAN6Q5PDLE2W2CWQW,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:41 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:41 PDT 2020,,,3VNXK88KKDKRDPRQPGU8T81KBZXV97,A1DHL4XO3VT7TR,Approved,Tue Apr 21 11:42:32 PDT 2020,Tue Apr 21 11:47:01 PDT 2020,Wed Apr 22 11:47:01 PDT 2020,Wed Apr 22 11:47:44 PDT 2020,,,269,100% (24/24),100% (24/24),100% (24/24),Her keel was laid down on 3 January 1940 by Deutsche Werke in Kiel as yard number 272.,The keel was founded on 28 December 1936 at Deutsche Werke Shipyard in Kiel.,cs,1.025858006,Afterwards he competed in swimsuit and interview.,I work in swimming and bicycle sports.,ja,1.025153509,"In response to the promotion of French in Québec, there was a recollection of the Mohawk language, which has also been used in school since 1979.",The Houma Tribe in Louisiana still speak the same French they had been taught 300 years ago.,de,1.025336632,"Tobot toys also beat Legos in South Korea as the most popular toys in 2013. ^ ""Animation.""",The toy line beat Lego as South Korea's most popular toy line in 2013.,id,1.044836939,"This university plays an innovative role in providing need-based higher education, training and research.","Training is to enable self-responsible education, education and care throughout Europe.",de,1.021887864,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,c,c,c,n,c
3RIHDBQ1NF0YGOH6JYC8V9KA7D2MHZ,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:41 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:41 PDT 2020,,,34MAJL3QP5P64AJVOBSBT5YLYMN43I,AAIQLE701DI9U,Approved,Tue Apr 21 07:31:50 PDT 2020,Tue Apr 21 07:33:34 PDT 2020,Wed Apr 22 07:33:34 PDT 2020,Wed Apr 22 07:33:44 PDT 2020,,,104,100% (6/6),100% (1/1),100% (1/1),1862 is date of establishment of first school with this name.,From 1662 comes the first mention of the local school.,cs,1.029286329,"To date, BCIT has more than 170,000 alumni and over 4,000 new graduates each year.",TU Graz has more than 17 000 students and 2 000 graduates annually.,de,1.02725469,"Semko continues to tour, and his solo acoustic concerts are legendary for their laughter, tears, sheer love of music and life.","However, Re is not alone, he is accompanied on his boat of Heqa, the protective magic and Sia, knowledge.",fr,1.022424827,"An autonomous administrative division (also referred to as an autonomous area, entity, unit, region, subdivision, or territory) is a subdivision or dependent territory of a country that has a degree of self-governance, or autonomy, from an external authority.","Autonomous administrative division (also referred to as region, entity, unit, region, subdivision, or autonomous territorial) is a subdivision or territorial dependency of a country that has its own government rate, or autonomous, of an external authority.",id,1.057508929,"As of 2018, Cody and Maurio have three children.","In 2018, she and Moritz became parents.",de,1.033369168,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,c,c,c,e,n
3EQVJH0T41N2TJ7QSVDKHNF21LYHTV,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3QUO65DNQVQU7X6WMF3LUCUQSQ6UOP,A1V2H0UF94ATWY,Approved,Tue Apr 21 07:31:51 PDT 2020,Tue Apr 21 08:18:07 PDT 2020,Wed Apr 22 08:18:07 PDT 2020,Wed Apr 22 08:18:44 PDT 2020,,,2776,100% (3/3),100% (3/3),100% (2/2),The cost of importing food to villages begins at 7¢ per pound (15¢/kg) and rises rapidly to 50¢ per pound ($1.10/kg) or more.,Food imported to the village can go up to more than 50 cents per pound.,ja,1.068213983,The incident led to a six-week delay in launching the European leg of the tour.,This accident delayed the start of the European tour by six weeks.,ja,1.047121879,The thermochemistry is based on two generalities.,The story hinges on two chemical facts.,ja,1.034404424,"The year of the formation, May, 1923.","It was dedicated on May 30, 1923.",ja,1.024526107,"The main building was enlarged several times before 1962, when a more modern facility was built directly adjacent.","This part of the building was completed in 1926, a one-storey modern entrance was later added.",de,1.021093699,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,e,n,n,n,n
33W1NHWFYINOK47KYHJRHUJ7XBFTZX,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:41 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:41 PDT 2020,,,3TE22NPXPCERM62ZOPXU3AQRCMJ443,AMPMTF5IAAMK8,Approved,Tue Apr 21 07:31:50 PDT 2020,Tue Apr 21 08:08:35 PDT 2020,Wed Apr 22 08:08:35 PDT 2020,Wed Apr 22 08:08:44 PDT 2020,,,2205,100% (4/4),100% (4/4),100% (4/4),The West African team kept going until quarter-finals before their steps were stopped by the Turks.,The UN would continue to hold them against South Africa until the end of apartheid.,id,1.022940871,"At first that step was taken by resuming Tangpyeong's policy, Yeongjo.",This removal later proceeded with directions from Empress Dowager Longyu.,id,1.025075247,Only one level of command may be shown on the ribbon.,There can be only one extended partition on the disk.,cs,1.025264699,"His attorney, Tatiana Montyan, filed an appeal against the verdict.",Santiago's defense attorney Kathleen Mullin said she would appeal.,cs,1.026303002,"At the base of the tail, the square-shaped paramedian osteoderms gradually lose their texture while the lateral osteoderms keep theirs.","Algorithms distance the surface from the observer's eye, while the sinkholes draw closer to him.",cs,1.020210285,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,c,c,c
3OB6JN3A9RRB5IV9F3O29DMGUM0RM1,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3YDGXNSEO0WS57P10SN7KM6WE8H48C,A23EWFNNOUS10B,Approved,Tue Apr 21 08:01:05 PDT 2020,Tue Apr 21 08:01:54 PDT 2020,Wed Apr 22 08:01:54 PDT 2020,Wed Apr 22 08:02:44 PDT 2020,,,49,100% (9/9),100% (9/9),100% (8/8),"In addition, quantity is more important than quality.",Participation matters more than quality.,de,1.036773374,Archeological remains indicate that the temple was attacced by Christian iconoclasts.,The interior of the temple was influenced by Christian temples.,cs,1.020227393,"Other factors, except for the small, continuous migration of the inhabitants of the eastern part of the empire to the western part of the empire, were very little intercontinental migration during the imperial period.","Other than that, there was no apparent net inter-regional migration in the imperial period, except perhaps a small continuous resettlement of Easterners in the West.",ja,1.052939517,The average age of the population is 36.3 years.,The average population age is 36.2 years.,cs,1.032048417,Now he's a free editor and has a contract with a magazine company in Nagoya.,She is currently under an exclusive contract with the fashion magazine With.,ja,1.027077672,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,c,n,n,c,n
3IVKZBIBJ1B1EJUB3V8U7IJGZ2KHS6,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3WR9XG3T64DO5TKIQNV16MA13O947N,A15GLNTVDPCXUQ,Approved,Tue Apr 21 07:32:30 PDT 2020,Tue Apr 21 08:53:18 PDT 2020,Wed Apr 22 08:53:18 PDT 2020,Wed Apr 22 08:53:44 PDT 2020,,,4848,100% (3/3),100% (3/3),100% (3/3),"In the 20th century, many scholars seemed to believe that the constraint of Ketuvim's considerations as a canned text was determined by the Yamania Council (kr.","In the 20th century, many scholars seemed to believe that the limits of the Ketuvim as canonized scripture were determined by the Council of Jamnia (c.",id,1.065052456,"It has a sweet flavor and a typical summer meal, but it can now be enjoyed year - round.",It has dry but pleasant weather conditions throughout the year.,id,1.042202709,From 1945 to 1954 the city's electron physics laboratory was involved in the Soviet program to develop nuclear weapons.,"From 1945 to 1954, a physics laboratory in Sukhum was involved in the Soviet Union's nuclear weapons development program.",id,1.072640514,"Such buildings are often simply demolished (such as Broad Street railway station (London)), or they may be preserved as part of a heritage railway.","Such buildings are often simply destroyed (like Broad Street Station), or they can be preserved as part of the history of railways.",id,1.094458916,"In July 2014, Deep Silver finally acquired Studio Nottingham, the brand rights of the first-person shooter Homefront, and all assets of the developing successor Homefront: The Revolution from the financially badly hit game developer Crytek.","In July 2014, Deep Silver acquired the rights to Homefront and its in-development sequel, Homefront: The Revolution, from German developer Crytek.",de,1.03432112,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,e,c,e,n,e
3MD8CKRQZ0PL4APOC6BATLUZQS5RJX,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3IQ1VMJRYUM7L1OSEL3CXLN7QOW9AI,A1945USNZHTROX,Approved,Tue Apr 21 08:14:00 PDT 2020,Tue Apr 21 08:22:01 PDT 2020,Wed Apr 22 08:22:01 PDT 2020,Wed Apr 22 08:22:44 PDT 2020,,,481,100% (253/253),100% (40/40),100% (40/40),These are also the dialects that differ most from the high language.,It is also the paradigm most focused on linguistics.,de,1.028166132,"Half of the regiment is positioned on a part of the wall close to the Confederates, while the other half is 50 meters to its right back.",Half of the regiment was posted at the portion of the wall closest to the Confederates while the other half was 50 yards to its right-rear.,fr,1.078715959,"If halal food is not available for Muslims, it is allowed to consume kosher foods that are a Jewish equivalent of Muslim halal food.","Select outlets serve only halal food, so as to cater to Muslim consumers.",cs,1.040764077,He studied at Felsted School in Essex.,"Holmes attended Felsted School, Essex.",cs,1.025930543,"Los Angeles/USA: The U.S. District Court for the Central District of California condemns the streaming of television channels, by the technology company of Aereo for illegal, without Aereo paying for television services.","In somewhat similar cases, the U.S. District Court for the Central District of California granted an injunction against Aereo's rival FilmOn, a similar service.",de,1.029231663,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,c,c,c,n,n
3YGYP13642BHN0G9R432MSBGZCARN1,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3VA45EW49OPEY0FYKRT1JAPTHT91OX,A3P04JZJNOYILR,Approved,Tue Apr 21 11:39:26 PDT 2020,Tue Apr 21 12:12:00 PDT 2020,Wed Apr 22 12:12:00 PDT 2020,Wed Apr 22 12:12:44 PDT 2020,,,1954,100% (7/7),100% (7/7),100% (7/7),The former United States Foreign Minister Henry Alfred Kissinger is from this city.,"""Secretary of State Henry Alfred Kissinger"".",id,1.033352941,"In practice, the sacrament (mostly in the Catholic Church) looks so that the priest places his hands on the sick one and prays for him, then anoints him with blessed olive oil and says, ""Through this holy anointing let the Lord help you for His mercy by the grace of the Holy Spirit.""","In the Roman Rite of the Latin Church, the priest anoints the sick person's forehead and hands with oil (usually in the form of a cross), saying: ""Through this holy anointing, may the Lord in his love and mercy help you with the grace of the Holy Spirit.",cs,1.030855808,Bart tells Lisa what she should do to get her friends back: she has to pull a prank on Principal Skinner.,"Bart told Lisa she could get her friends back, but she has to make a joke of Principal Skinner.",cs,1.058262737,He was inaugurated on 11 July of that year.,It opens on July 11th of the same year.,ja,1.022776665,The SWR points out that Arvato Infoscore took a negative account of Deutsche Bahn's fare collection when assessing the creditworthiness of individual customers.,"The SWR also provided evidence that Arvato Infoscore had used information from such penalty fares for credit ratings of some customers, too.",de,1.026858629,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,c,e,e,n,c
33QQ60S6ATK6IWGJUSW9GR2NYI3U0X,3EOS91U1V0D88JCHV1V3N9X72E7YB1,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning, semantic",$0.75,Tue Apr 21 07:31:42 PDT 2020,1,BatchId:4003249;OriginalHitTemplateId:928390905;,18000,86400,Tue Apr 28 07:31:42 PDT 2020,,,3KKG4CDWKJ0SJC8B5KTLKI17YEX49Z,A3RYI5HXC2MJLN,Approved,Tue Apr 21 07:31:54 PDT 2020,Tue Apr 21 11:06:27 PDT 2020,Wed Apr 22 11:06:27 PDT 2020,Wed Apr 22 11:06:44 PDT 2020,,,12873,100% (6/6),100% (1/1),100% (1/1),"Cestovní kancelář FISCHER, a.s. is the second largest Czech travel agency by revenue.","Travel agency FISCHER, a.s. is a travel agency in the Czech Republic.",cs,1.03366298,"But now, in the early 1990s, the Jakarta-Begor railway had turned into a double rail.","However, by the early 1990s, McCreery's position within the UDA became less secure.",id,1.024349453,North Korea blamed the US for misrepresenting what had been agreed upon in Singapore.,The Great Britain condemned North Korea's attack for its apparent contempt for international obligations.,cs,1.023341926,Cook returned to Wizards of the Coast in 2011.,Cook returned to theship of the Coast in 2011.,ja,1.049455559,The high-resolution picture Ceres obtained and was much better than the observations by the Hubble space telescope.,A high-resolution image of this latest phase was obtained with the Hubble Space Telescope.,id,1.028774124,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,n,n,c,e
