,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,keep,lab_count,maj_count,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
0,823.0,A270HX8LH9LJ8W,Certain-Same,2279.0,The Malla period saw no advancements in either the arts or sciences.,1.0,1.0,2.0,original,contradiction,1.0,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",contradiction,False
188,1383.0,A1W7I6FN183I8F,Certain-Same,2660.0,Public courses aren't popular so it's easy to sign up for one.,0.0,1.0,3.0,original,contradiction,1.0,479.0,"Public courses are very popular, so book in advance.",contradiction,False
127,84.0,A2615YW1YERQBO,Certain-Same,3080.0,There is a cable car stop at the Megaron Gyzi Museum.,1.0,1.0,2.0,original,neutral,0.99,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,neutral,False
30,530.0,A2615YW1YERQBO,Certain-Same,6378.0,The national and state parks sometimes offer joint activities in their respective park areas.,1.0,1.0,2.0,original,neutral,0.99,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,neutral,False
137,9912.0,A2615YW1YERQBO,Certain-Same,3490.0,Nearly one in five children in California live in poverty.,1.0,1.0,2.0,original,entailment,0.99,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",entailment,False
179,163.0,A2615YW1YERQBO,Certain-Same,7469.0,They had bows on their backs and arrows in their bags.,0.0,1.0,3.0,original,neutral,1.0,1435.0,Curved swords hung on their hip and bows sat across their backs.,neutral,False
158,606.0,A270HX8LH9LJ8W,Certain-Same,6270.0,The Outer Shrine of Uji-Yamada is called Geku.,1.0,1.0,2.0,original,entailment,0.96,2175.0,"A short walk from Uji-Yamada Station is Geku, the Outer Shrine.",entailment,False
46,471.0,A270HX8LH9LJ8W,Certain-Same,11474.0,The incumbent has experienced a high level of accesses and needs examination.,1.0,1.0,2.0,original,contradiction,0.98,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",neutral,True
22,1980.0,A1W7I6FN183I8F,Certain-Same,11641.0,That one was actually one of my ideas as well.,1.0,1.0,2.0,original,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,contradiction,True
233,57.0,A2615YW1YERQBO,Certain-Same,1321.0,There is no way to ask for a physical menu to look at.,0.0,1.0,3.0,original,contradiction,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",contradiction,False
185,148.0,A2615YW1YERQBO,Certain-Same,12240.0,The Rebs were given a lesson because they played soft.,0.0,1.0,3.0,original,contradiction,1.0,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",contradiction,False
284,1222.0,A1W7I6FN183I8F,Certain-Same,7881.0,Control over the payment process should be based on the needs of the agency.,0.0,1.0,3.0,original,entailment,0.98,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,entailment,False
215,769.0,A1W7I6FN183I8F,Certain-Same,14748.0,"There were, at one time, money-lenders in the temple. ",0.0,1.0,3.0,original,entailment,0.98,2814.0,"He chased the money-lenders out of the Temple, didn't he?",entailment,False
156,24.0,A2615YW1YERQBO,Certain-Same,8677.0,"The election is next week, so we won't have to hear them much longer.",1.0,1.0,2.0,original,neutral,0.97,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,neutral,False
206,37.0,A2615YW1YERQBO,Certain-Same,16071.0,"They confirmed you authorized your signature, and so she felt satisfied it was real.",0.0,2.0,3.0,original,contradiction,0.99,3096.0,"They signed your name, and she fell into the trap like a lamb.""",contradiction,False
162,939.0,A1W7I6FN183I8F,Certain-Same,9171.0,He loves doing it so you only have to ask him once.,1.0,1.0,2.0,original,contradiction,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,False
221,119.0,A1W7I6FN183I8F,Certain-Same,17494.0,Litigation is time consuming and results in air quality being determined by the courts.,0.0,1.0,3.0,original,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",entailment,False
6,220.0,A270HX8LH9LJ8W,Certain-Same,17571.0,My mom has a teacup poodle that has shaggy white fur.,1.0,1.0,2.0,original,neutral,1.0,3378.0,ah ah my got my mom a teacup poodle not too long ago,neutral,False
11,10093.0,A2615YW1YERQBO,Certain-Same,17797.0,I don't know what to do about the cold I got.,1.0,1.0,2.0,original,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,neutral,False
144,27.0,A2615YW1YERQBO,Certain-Same,9910.0,I know he is trying his best to get back in shape.,1.0,1.0,2.0,original,neutral,0.98,3447.0,so i don't know if he's going to be in shape to,neutral,False
