,Unnamed: 0,review-num,sentence-num,pred-model,fill-model,original,mask-filled,token_changes,n_gram,Word2Vec-Score,Bert-Score,gold-label,fill_prob,orig-label,new-label,orig-label-prob,new-label-prob,label-changed,label-prob-diff
40,40,0,0,imdb-BaseBert,BaseBart,"I'm at this very moment debating whether I should even finish watching this ""poppycock"" of a movie.",I'm at this very moment debating whether I should even finish watching this movie.It's a hell of a movie.,"('""poppycock""', ""movie.It's a hell"")",3,0.9822167403672448,0.9562637209892272,0,-0.2592415809631348,0,1,1.0,0.0,True,1.0
129,129,0,5,imdb-BaseBert,BaseBart,"Other than the original idea, this film has absolutely zero redeeming qualities.","Other than the original idea, this film has some interesting qualities.","('absolutely zero redeeming', 'some interesting')",3,0.9699720820920056,0.956253170967102,0,-0.28653520345687866,0,1,1.0,0.14,True,0.86
139,139,0,6,imdb-BaseBert,BaseBart,My mistake for continuing to watch. - MERK,Thank you for continuing to watch. - MERK,"('My mistake', 'Thank you')",2,0.9527978608682336,0.9117376804351808,0,-0.1459760218858719,0,1,1.0,0.0,True,1.0
140,140,0,6,imdb-BaseBert,BaseBart,My mistake for continuing to watch. - MERK,My wife and I are continuing to watch. - MERK,"('mistake for', 'wife and I are')",2,0.932848944689588,0.9146009683609008,0,-0.3603709638118744,0,1,1.0,0.01,True,0.99
142,142,0,6,imdb-BaseBert,BaseBart,My mistake for continuing to watch. - MERK,We are continuing to watch. - MERK,"('My mistake for', 'We are')",3,0.9167875096845576,0.916411280632019,0,-0.28989458084106445,0,1,1.0,0.1,True,0.9
143,143,0,6,imdb-BaseBert,BaseBart,My mistake for continuing to watch. - MERK,My favorite movie to watch. - MERK,"('mistake for continuing', 'favorite movie')",3,0.8782024040588491,0.9104248881340028,0,-0.3136579096317291,0,1,1.0,0.0,True,1.0
147,147,0,6,imdb-BaseBert,BaseBart,My mistake for continuing to watch. - MERK,My favorite movie to watch. - MERK,"('mistake for continuing', 'favorite movie')",3,0.8782024040588491,0.9104248881340028,0,-0.3136579096317291,0,1,1.0,0.0,True,1.0
162,162,1,0,imdb-BaseBert,BaseBart,"So many bad reviewers, it made me wonder, what people are thinking while watching a simple flick made by a quite bad director???","So many comments from reviewers, it made me wonder, what people are thinking while watching a simple flick made by a quite talented director???","('bad', 'comments from talented')",1,0.9930283071274552,0.9780281782150269,0,-0.22238238155841827,0,1,1.0,0.25,True,0.75
222,222,1,0,imdb-BaseBert,BaseBart,"So many bad reviewers, it made me wonder, what people are thinking while watching a simple flick made by a quite bad director???","So many comments from reviewers, it made me wonder, what people are thinking while watching a simple flick made by a quite talented director???","('bad', 'comments from talented')",1,0.9930283071274552,0.9780281782150269,0,-0.22238238155841827,0,1,1.0,0.25,True,0.75
245,245,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super action movie??,"('-hit flawless', 'super action')",3,0.9651478201578242,0.9600409269332886,0,-0.3781639635562897,1,0,0.99,0.23,True,0.76
248,248,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hero movie??,"('hit flawless', 'super-hero')",2,0.9750728350479996,0.9558485746383668,0,-0.31368887424468994,1,0,0.99,0.09,True,0.9
250,250,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super action movie??,"('-hit flawless', 'super action')",3,0.9651478201578242,0.9600409269332886,0,-0.3781639635562897,1,0,0.99,0.23,True,0.76
251,251,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hero movie??,"('hit flawless movie', 'super-hero movie??')",3,0.9750728350479996,0.9558485746383668,0,-0.6021261215209961,1,0,0.99,0.09,True,0.9
252,252,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hit sci-fi movie??,"('flawless', 'sci-fi')",1,0.956154306558717,0.967831254005432,0,-0.29615435004234314,1,0,0.99,0.42,True,0.5700000000000001
253,253,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hero movie??,"('hit flawless', 'super-hero')",2,0.9750728350479996,0.9558485746383668,0,-0.31368887424468994,1,0,0.99,0.09,True,0.9
255,255,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super action movie??,"('-hit flawless', 'super action')",3,0.9651478201578242,0.9600409269332886,0,-0.3781639635562897,1,0,0.99,0.23,True,0.76
