,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,keep,lab_count,maj_count,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
46,471.0,A270HX8LH9LJ8W,Certain-Same,11474.0,The incumbent has experienced a high level of accesses and needs examination.,1.0,1.0,2.0,original,contradiction,0.98,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",neutral,True
22,1980.0,A1W7I6FN183I8F,Certain-Same,11641.0,That one was actually one of my ideas as well.,1.0,1.0,2.0,original,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,contradiction,True
56,345.0,A270HX8LH9LJ8W,Certain-Same,22132.0,The entrance is at the end of David Street and up an alleyway.,1.0,1.0,2.0,original,entailment,0.97,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",neutral,True
24,514.0,A2615YW1YERQBO,Certain-Same,41274.0,The intake systems of the past are perfectly viable and don't need replacing.,1.0,1.0,2.0,original,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
164,597.0,A270HX8LH9LJ8W,Certain-Same,23374.0,He has no idea who I am and wants to know.,1.0,1.0,2.0,original,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
160,301.0,A2E0LU8V4EUX5C,Certain-Same,30613.0,"you have definitely watched television recently, we watched the television together this morning.",1.0,1.0,2.0,original,contradiction,0.96,10685.0,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,neutral,True
182,1468.0,A1W7I6FN183I8F,Certain-Same,63802.0,If you get into the wrong crowd in school you can end up on hard drugs.,0.0,2.0,3.0,original,neutral,1.0,12363.0,they get into a wrong crowd first and then they start a drug problem,entailment,True
281,85.0,A2615YW1YERQBO,Certain-Same,47669.0,"The route to our destination is lined by mountains, cliffs, and farmland.",0.0,1.0,3.0,original,contradiction,0.98,16320.0,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.",neutral,True
293,917.0,A270HX8LH9LJ8W,Certain-Same,52914.0,"I started to do it again, just like I did years ago.",0.0,2.0,3.0,original,neutral,0.96,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,contradiction,True
302,1190.0,A1W7I6FN183I8F,Certain-Same,54498.0,You can easily walk from the port to the passeig.,0.0,2.0,3.0,original,neutral,0.93,18549.0,The port is virtually round the corner from the passeig.,entailment,True
230,276.0,A270HX8LH9LJ8W,Certain-Same,16397.0,"I pull my Jeep with it, not my Oldsmobile.",0.0,2.0,3.0,original,contradiction,1.0,30305.0,i've got a big Oldsmobile that i pull it with when i,neutral,True
100,1059.0,A1W7I6FN183I8F,Certain-Same,29258.0,"If you will walk past, you will go to the Whisperer's Forest.",1.0,1.0,2.0,original,contradiction,0.96,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",neutral,True
257,55.0,A2615YW1YERQBO,Certain-Same,35045.0,The brawl is based on principles where no one loses.,0.0,2.0,3.0,original,entailment,0.95,64885.0,The Manson fight is a morality play in which everyone wins.,neutral,True
