,Unnamed: 0,Unnamed: 0.1,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
2617,2648,2648,95420,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,VA administers the laws providing benefits and other services to veterans and their dependents and beneficiaries.,Veterans and their dependents receive benefits administered by the VA.,Veterans and their dependents enjoy the benefits administered by the VA.,dependents enjoy the benefits,10.02%,2,0.9796857450021944,0.9861726164817808,0,0,neutral,entailment,neutral,0.99,0.01,0.98,True,0.98,Certain-Flip
14212,14397,14397,45276,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,). For the last three days I've been tempting carpal tunnel while cutting and then uncutting very funny News Quiz answers.,"These News Quiz answers are, hands down, the funniest I've ever seen. ","These News Quiz answers are, hands down, the worst I've ever seen.",the worst,10.55%,1,0.9927923049317968,0.9853682518005372,1,1,contradiction,neutral,contradiction,0.99,0.0,1.0,True,0.99,Certain-Flip
10383,10524,10524,75951,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,The same technology is already used safely in hospital radiation-therapy units and plants that sterilize medical products.,This technology is nearing final approval for use in radiation therapy and potentially even industrial uses.,This technology has received final approval for use in radiation therapy and potentially even industrial uses.,has received final,10.49%,1,0.9897952108535616,0.989541232585907,2,2,neutral,contradiction,neutral,0.93,0.16,0.84,True,0.77,Certain-Flip
12404,12565,12565,88058,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,"Unfortunately, hereditary monarchy has offsetting drawbacks, which I assume I don't need to enumerate for the readers of Slate .",I am sure Slate readers know the drawbacks to hereditary monarchy.,I am sure Slate readers know all the benefits to hereditary monarchy.,all the benefits,10.86%,1,0.98325069793011,0.9867937564849854,0,0,contradiction,entailment,contradiction,0.94,0.01,0.88,True,0.93,Certain-Flip
10470,10611,10611,34769,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,yes that's i'm a inside guard i also work in the segregation department for the ones that mess up,"Yes, I also work in the segregation department for the ones that mess up, I am an inside guard.","Yes, I also work in the segregation department for the ones that mess up, I am an inside guard and I love it.",I guard and love it.,10.29%,2,0.9953146739113335,0.9864730238914492,0,0,neutral,entailment,neutral,0.99,0.0,1.0,True,0.99,Certain-Flip
340,341,341,5318,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,that that would be interesting i i must admit i haven't been really enthusiastic about the Democratic entrants in the last couple of run throughs,"I have been really enthusiastic about the Democratic entrants in the last couple of run throughts, but now not so much.","I have been really enthusiastic about the Republican entrants in the last couple of run throughts, but now not so much.",about the Republican,10.15%,2,0.9973085620707282,0.9942973256111144,2,2,neutral,contradiction,neutral,1.0,0.2,0.8,True,0.8,Certain-Flip
7657,7757,7757,9131,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,For the novice or those not in peak condition there are walks or gentle strolls in the valley bottoms and around the lake shores.,The valley bottoms are gentler and thus more ideal for novices.,The valley bottoms are warmer and thus more ideal for novices.,are warmer,10.34%,1,0.9848660591538828,0.9844289422035216,0,0,neutral,entailment,neutral,0.63,0.0,1.0,True,0.63,Certain-Flip
14775,14967,14967,56891,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,Had she not openly avowed her intention of marrying for money if she ever had the chance? ,"She wanted a nice house and clothes, and didn't care if she loved her husband.","She wanted a nice home, and didn't care if she loved her husband.","home,",10.78%,2,0.9928287836486024,0.9852537512779236,1,1,entailment,neutral,contradiction,0.97,0.14,0.86,True,0.83,Certain-Flip
4290,4341,4341,35223,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,yeah yeah well i guess for like lunch places that's really important because you usually that much time or or whatever,It's important for places that you go to for lunch.,It's important for places that you go to for lunch and dinner.,for lunch and dinner.,10.55%,2,0.9917580035054768,0.987580955028534,0,0,neutral,entailment,neutral,0.98,0.0,1.0,True,0.98,Certain-Flip
10495,10636,10636,47777,RoBERTa-MNLI,fine-tuned,content-words,model-label,diverse-beam,"I then washed three of the sets 14 times each, in hot water, with each of the fine household products I mentioned above.","I washed three of the sets fourteen times each, in hot water, with each of the products I mentioned.","I washed three of the sets 15 times each, in hot water, with each of the products I mentioned.",sets 15 times,9.95%,5,0.9963756531596168,0.9945868849754332,0,0,contradiction,entailment,contradiction,0.99,0.01,0.87,True,0.98,Certain-Flip
