premID_1,mask-type_1,hypoID_1,premise_1,hypothesis_1,orig-prob_1,model-label_1,flip-class_1,premID_2,mask-type_2,hypoID_2,premise_2,hypothesis_2,orig-prob_2,model-label_2,flip-class_2,premID_3,mask-type_3,hypoID_3,premise_3,hypothesis_3,orig-prob_3,model-label_3,flip-class_3,premID_4,mask-type_4,hypoID_4,premise_4,hypothesis_4,orig-prob_4,model-label_4,flip-class_4,premID_5,mask-type_5,hypoID_5,premise_5,hypothesis_5,orig-prob_5,model-label_5,flip-class_5
12000,content-words,62087," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",Sant Joan is the name of a large inland hamlet on the island.,1,neutral,Certain-Flip,12000,content-words,62086," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",Sant Joan is the capital of a large city on the island.,1,contradiction,Uncertain-Same,12000,original,62074," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",Sant Joan is the name of a large city on the island.,1,contradiction,Certain-Same,12000,content-words,62074," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",Sant Joan is the name of a hamlet located on the island.,1,entailment,Uncertain-Flip,12000,content-words,62076," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",Sant Joan is the name of a large town on the island.,1,neutral,Uncertain-Flip
3413,content-words,17798,so i don't know i i i have no idea what to do about it,I don't know what to do about the.,1,entailment,Certain-Flip,3413,content-words,17793,so i don't know i i i have no idea what to do about it,I don't know what to do about what I've got.,1,neutral,Uncertain-Same,3413,original,17797,so i don't know i i i have no idea what to do about it,I don't know what to do about the cold I got.,1,neutral,Certain-Same,3413,content-words,17797,so i don't know i i i have no idea what to do about it,I don't know what to do about the problem I've got.,1,entailment,Uncertain-Flip,3413,content-words,17796,so i don't know i i i have no idea what to do about it,I don't know what to do about the problem I got.,1,neutral,Uncertain-Same
2961,content-words,15362,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.","In doing so, congress will need to hold agencies accountable for missions of the military.",0.99,contradiction,Certain-Flip,2961,content-words,15365,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.","In doing so, congress will need to hold agencies accountable for missions of.",0.99,entailment,Uncertain-Same,2961,original,15356,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.","In doing so, congress will need to hold agencies accountable for missions of homeland security.",0.99,entailment,Certain-Same,2961,content-words,15356,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.","In doing so, congress will need to hold agencies accountable for the lack of homeland security.",0.99,entailment,Uncertain-Same,2961,content-words,15352,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.","In doing so, congress will need to hold agencies accountable for missions of homeland security in the new department.",0.99,contradiction,Uncertain-Flip
8472,content-words,42979,This may have been to stop soldiers on horseback storming into the church.,The soldiers were on horses and had no trouble invading churches.,0.99,neutral,Uncertain-Same,8472,content-words,42986,This may have been to stop soldiers on horseback storming into the church.,The soldiers were not cruel and had no trouble invading churches.,0.99,contradiction,Uncertain-Flip,8472,original,42992,This may have been to stop soldiers on horseback storming into the church.,The soldiers were cruel and had no trouble invading churches. ,0.99,neutral,Certain-Same,8472,content-words,42992,This may have been to stop soldiers on horseback storming into the church.,The soldiers were having no trouble invading churches.,0.99,neutral,Uncertain-Same,8472,content-words,42989,This may have been to stop soldiers on horseback storming into the church.,The soldiers were cruel and had no trouble.,0.99,neutral,Certain-Same
7630,content-words,38781,An announcement in the Commerce Business Daily orRequest for other publication requesting industry comment onComment draft specifications for resources.,There is no announcement that the Commerce Business Daily is looking for comments.,0.98,contradiction,Certain-Flip,7630,content-words,38782,An announcement in the Commerce Business Daily orRequest for other publication requesting industry comment onComment draft specifications for resources.,The announcement in the Commerce Business Daily is looking for.,0.98,entailment,Uncertain-Same,7630,original,38777,An announcement in the Commerce Business Daily orRequest for other publication requesting industry comment onComment draft specifications for resources.,The announcement in the Commerce Business Daily is looking for comments. ,0.98,entailment,Certain-Same,7630,content-words,38777,An announcement in the Commerce Business Daily orRequest for other publication requesting industry comment onComment draft specifications for resources.,The announcement in the Commerce Business Daily is looking.,0.98,neutral,Uncertain-Flip,7630,content-words,38783,An announcement in the Commerce Business Daily orRequest for other publication requesting industry comment onComment draft specifications for resources.,The announcement in the Commerce Business Daily is.,0.98,entailment,Uncertain-Same
8203,content-words,41573,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option final rule gives mutual fund.,0.97,entailment,Uncertain-Flip,8203,content-words,41558,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option final rule gives mutual fund customers.,0.97,entailment,Uncertain-Flip,8203,original,41572,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option final rule gives mutual fund customers little information.,0.97,contradiction,Certain-Same,8203,content-words,41572,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option's final rule gives mutual fund customers little information.,0.97,contradiction,Certain-Same,8203,content-words,41567,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",The New Disclosure Option final rule gives mutual fund investors too little information.,0.97,contradiction,Uncertain-Same
4291,content-words,22137,"To reach the entrance, go back up David Street and turn left up a small alleyway.",The entrance is at the intersection of David Street and up an alleyway.,0.97,entailment,Certain-Same,4291,content-words,22136,"To reach the entrance, go back up David Street and turn left up a small alleyway.",The entrance is at the end of David Street and up.,0.97,entailment,Uncertain-Same,4291,original,22132,"To reach the entrance, go back up David Street and turn left up a small alleyway.",The entrance is at the end of David Street and up an alleyway. ,0.97,entailment,Certain-Same,4291,content-words,22132,"To reach the entrance, go back up David Street and turn left up a small alleyway.",The entrance is at the end of David Street and up an.,0.97,entailment,Uncertain-Same,4291,content-words,22131,"To reach the entrance, go back up David Street and turn left up a small alleyway.",The entrance to the store is at the end of David Street and up an alleyway.,0.97,neutral,Uncertain-Flip
24933,data-slices,13579,"To get a clear sense of the original, start with the villa's excellent scale model.",There are no other models of the villa at all.,1,contradiction,Uncertain-Same,24933,data-slices,13575,"To get a clear sense of the original, start with the villa's excellent scale model.",There are no other scale models of the villa at all.,1,neutral,Uncertain-Flip,24933,original,13581,"To get a clear sense of the original, start with the villa's excellent scale model.",There are no scale models of the villa at all.  ,1,contradiction,Certain-Same,24933,data-slices,13581,"To get a clear sense of the original, start with the villa's excellent scale model.",There are no small scale models of the villa at all.,1,contradiction,Uncertain-Same,24933,data-slices,13574,"To get a clear sense of the original, start with the villa's excellent scale model.",There are no scale models of the.,1,contradiction,Certain-Same
38286,data-slices,20925,MAST has been self-administered and used in a computer format.,There is an easy way to administer MAST without close supervision.,1,neutral,Uncertain-Flip,38286,data-slices,20924,MAST has been self-administered and used in a computer format.,There is only one way to administer MAST without close supervision.,1,neutral,Uncertain-Flip,38286,original,20923,MAST has been self-administered and used in a computer format.,There is no way to administer MAST without close supervision.,1,contradiction,Certain-Same,38286,data-slices,20923,MAST has been self-administered and used in a computer format.,There is no other way to administer MAST without close supervision.,1,contradiction,Uncertain-Same,38286,data-slices,20921,MAST has been self-administered and used in a computer format.,There is a way to administer MAST without close supervision.,1,entailment,Certain-Flip
74881,data-slices,40471,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,The pirates were at port every night to patrol the ocean.,1,neutral,Certain-Flip,74881,data-slices,40476,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,The pirates were at port and would patrol the ocean.,1,neutral,Uncertain-Flip,74881,original,40472,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,The pirates were at port and chose not to patrol the ocean.,1,contradiction,Certain-Same,74881,data-slices,40472,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,The pirates were at port and chose to patrol the ocean.,1,contradiction,Uncertain-Same,74881,data-slices,40475,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,The pirates were at port and were paid to patrol the ocean.,1,contradiction,Uncertain-Same
