,flip-class,premID,premise,hypoID,hypothesis,orig-hypothesis,lab_count,maj_count,mask-type,model-label,response,model-wrong,orig-label
0,Uncertain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",48.0,Would the job pay more if it were not held by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
1,Uncertain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",51.0,Would the job pay less if it were done by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
2,Uncertain-Same,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",52.0,Would the job be better if it were not held by Tripp?,Would the job pay less if it were not held by Tripp?,1.0,3.0,data-slices,entailment,neutral,True,entailment
3,Certain-Flip,131.0,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",53.0,Would the job pay less if it were only held by Tripp?,Would the job pay less if it were not held by Tripp?,2.0,3.0,data-slices,contradiction,neutral,True,entailment
4,Uncertain-Flip,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2269.0,The Malla period saw advancements in either the arts or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,neutral,entailment,True,contradiction
6,Uncertain-Same,427.0,"The Malla period saw completion of Nepal's most important palaces, temples, and works of art.",2279.0,The Malla period saw no advancements in either the economy or sciences.,The Malla period saw no advancements in either the arts or sciences.,1.0,3.0,content-words,contradiction,neutral,True,contradiction
9,Uncertain-Same,479.0,"Public courses are very popular, so book in advance.",2656.0,Private courses aren't popular so it's easy to sign up for one.,Public courses aren't popular so it's easy to sign up for one.,2.0,3.0,content-words,contradiction,neutral,True,contradiction
10,Uncertain-Flip,479.0,"Public courses are very popular, so book in advance.",2660.0,"Public courses are very popular, so it's easy to sign up for one.",Public courses aren't popular so it's easy to sign up for one.,2.0,3.0,content-words,neutral,contradiction,True,contradiction
12,Uncertain-Same,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1801.0,I took two courses on how I can become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,2.0,3.0,gradient,neutral,contradiction,True,neutral
13,Uncertain-Same,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1802.0,I took two courses to become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,2.0,3.0,gradient,neutral,contradiction,True,neutral
19,Uncertain-Flip,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,5757.0,There is a cable car station to the south of the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,1.0,2.0,content-words,entailment,neutral,True,neutral
24,Uncertain-Same,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6378.0,The national and state parks sometimes offer information about their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,neutral,entailment,True,neutral
26,Uncertain-Flip,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6402.0,The national and state parks sometimes offer information about activities in their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,entailment,neutral,True,neutral
27,Uncertain-Same,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",3490.0,Nearly one in three children in California live in poverty.,Nearly one in five children in California live in poverty.,1.0,3.0,gradient,entailment,contradiction,True,entailment
